sequence_index,return,first_chamber_filling,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000133,224.16876,93.2234,74.61032,23,13
1970-01-01 00:00:00.000000134,228.07703,93.478,74.84568,23,14
1970-01-01 00:00:00.000000135,228.77164,93.63522,75.16879,23,15
1970-01-01 00:00:00.000000136,232.4626,93.67864,75.52276,23,16
1970-01-01 00:00:00.000000137,235.04927,93.73939,75.68673,23,17
1970-01-01 00:00:00.000000138,234.0325,93.79145,75.65779,23,18
1970-01-01 00:00:00.000000139,235.2816,94.077934,75.633675,23,19
1970-01-01 00:00:00.000000140,235.0908,94.03839,75.65971,23,20
1970-01-01 00:00:00.000000141,237.54291,94.14251,75.77496,23,21
1970-01-01 00:00:00.000000095,141.7371,98.74324,64.80421,25,10
1970-01-01 00:00:00.000000096,150.33403,96.07157,67.36111,25,11
1970-01-01 00:00:00.000000097,130.16096,96.97915,61.929966,25,12
1970-01-01 00:00:00.000000098,126.18522,92.639854,64.31135,25,13
1970-01-01 00:00:00.000000099,129.79,94.55091,59.91899,25,14
1970-01-01 00:00:00.000000231,211.62114,92.71606,81.77565,26,10
1970-01-01 00:00:00.000000232,212.5776,92.76235,81.23167,26,11
1970-01-01 00:00:00.000000233,213.47307,92.92919,80.75329,26,12
1970-01-01 00:00:00.000000234,213.14603,93.091255,80.15914,26,13
1970-01-01 00:00:00.000000235,212.1635,93.126945,79.46662,26,14
1970-01-01 00:00:00.000000236,212.63597,93.06041,78.729744,26,15
1970-01-01 00:00:00.000000237,211.79733,93.07294,78.28125,26,16
1970-01-01 00:00:00.000000238,211.1749,92.966835,77.68711,26,17
1970-01-01 00:00:00.000000239,207.41957,92.601295,77.12866,26,18
1970-01-01 00:00:00.000000240,205.3102,92.598404,76.58466,26,19
1970-01-01 00:00:00.000000241,202.9948,92.571396,76.18151,26,20
1970-01-01 00:00:00.000000242,202.0971,92.53282,75.63271,26,21
1970-01-01 00:00:00.000000243,201.211,92.52799,75.32119,26,22
1970-01-01 00:00:00.000000244,198.6424,92.500984,74.946945,26,23
1970-01-01 00:00:00.000000245,200.75543,92.49326,74.590065,26,24
1970-01-01 00:00:00.000000246,199.50436,92.52414,74.72702,26,25
1970-01-01 00:00:00.000000247,191.05836,92.40935,74.18884,26,26
1970-01-01 00:00:00.000000248,142.12463,89.848564,75.48804,26,27
1970-01-01 00:00:00.000000249,74.45854,87.26659,77.011955,26,28
1970-01-01 00:00:00.000000250,34.07512,86.22589,79.86689,26,29
1970-01-01 00:00:00.000000251,45.196228,87.11035,80.22184,26,30
1970-01-01 00:00:00.000000252,63.334595,86.19696,85.0868,26,31
1970-01-01 00:00:00.000000253,107.00835,88.484764,89.915115,26,32
1970-01-01 00:00:00.000000254,128.22276,90.403175,88.1144,26,33
1970-01-01 00:00:00.000000255,131.306,90.022194,87.618645,26,34
1970-01-01 00:00:00.000000256,140.65697,90.13021,87.63696,26,35
1970-01-01 00:00:00.000000257,145.8869,90.33658,87.653366,26,36
1970-01-01 00:00:00.000000258,143.8605,90.462944,87.89354,26,37
1970-01-01 00:00:00.000000259,142.609,90.3935,88.2812,26,38
1970-01-01 00:00:00.000000181,89.93051,90.583534,63.7664,29,10
1970-01-01 00:00:00.000000182,92.02908,90.71471,64.54188,29,11
1970-01-01 00:00:00.000000183,94.70515,91.14874,64.95853,29,12
1970-01-01 00:00:00.000000184,100.56949,91.454475,65.36747,29,13
1970-01-01 00:00:00.000000185,102.81509,91.96661,66.25577,29,14
1970-01-01 00:00:00.000000186,108.01244,91.79109,68.26196,29,15
1970-01-01 00:00:00.000000187,108.28029,90.77739,68.9564,29,16
1970-01-01 00:00:00.000000188,99.36393,91.63871,66.33102,29,17
1970-01-01 00:00:00.000000189,87.9209,92.77586,66.61168,29,18
1970-01-01 00:00:00.000000190,91.05176,92.331215,67.37462,29,19
1970-01-01 00:00:00.000000191,94.91538,91.169945,68.20408,29,20
1970-01-01 00:00:00.000000192,60.45197,91.89912,67.7228,29,21
1970-01-01 00:00:00.000000193,74.2105,85.79283,65.89505,29,22
1970-01-01 00:00:00.000000194,66.89178,87.5328,67.45948,29,23
1970-01-01 00:00:00.000000195,66.09952,88.74226,66.68112,29,24
1970-01-01 00:00:00.000000196,43.410313,88.80016,65.98283,29,25
1970-01-01 00:00:00.000000197,63.71444,86.96663,67.17592,29,26
1970-01-01 00:00:00.000000198,63.34596,89.255394,65.981865,29,27
1970-01-01 00:00:00.000000199,37.59925,88.40374,65.75135,29,28
1970-01-01 00:00:00.000000200,63.87221,86.683075,70.79282,29,29
1970-01-01 00:00:00.000000201,40.481518,87.922104,70.78397,29,30
1970-01-01 00:00:00.000000092,187.66237,89.3422,37.826,40,10
1970-01-01 00:00:00.000000093,186.05946,90.23246,39.08758,40,11
1970-01-01 00:00:00.000000094,195.16867,90.25751,38.982452,40,12
1970-01-01 00:00:00.000000095,195.27353,90.411835,38.80593,40,13
1970-01-01 00:00:00.000000096,199.82297,90.670006,38.445225,40,14
1970-01-01 00:00:00.000000092,173.67484,84.85339,38.82523,42,10
1970-01-01 00:00:00.000000093,179.70613,85.083916,36.98205,42,11
1970-01-01 00:00:00.000000094,174.06207,85.928825,34.93634,42,12
1970-01-01 00:00:00.000000095,184.3778,87.613815,33.814625,42,13
1970-01-01 00:00:00.000000096,206.8557,90.37325,32.06307,42,14
1970-01-01 00:00:00.000000156,119.45527,71.42458,61.110134,45,10
1970-01-01 00:00:00.000000157,118.40453,71.14776,60.97898,45,11
1970-01-01 00:00:00.000000158,117.243034,71.37152,60.86034,45,12
1970-01-01 00:00:00.000000159,117.76973,71.11111,60.9809,45,13
1970-01-01 00:00:00.000000160,116.3803,71.18346,60.97512,45,14
1970-01-01 00:00:00.000000161,117.72003,71.37345,60.942333,45,15
1970-01-01 00:00:00.000000162,118.440735,71.8393,60.763885,45,16
1970-01-01 00:00:00.000000163,119.41047,71.62422,61.218174,45,17
1970-01-01 00:00:00.000000164,119.4501,71.61747,61.182495,45,18
1970-01-01 00:00:00.000000165,118.42477,71.51716,60.867085,45,19
1970-01-01 00:00:00.000000166,116.94863,70.96354,60.864197,45,20
1970-01-01 00:00:00.000000167,118.002266,70.77932,60.894108,45,21
1970-01-01 00:00:00.000000168,117.838234,71.30981,61.14198,45,22
1970-01-01 00:00:00.000000169,121.30157,71.388885,61.19405,45,23
1970-01-01 00:00:00.000000170,68.36078,68.30343,59.326775,45,24
1970-01-01 00:00:00.000000171,32.44547,60.158478,60.775017,45,25
1970-01-01 00:00:00.000000116,99.47302,87.99383,55.983788,46,10
1970-01-01 00:00:00.000000117,106.3184,86.41493,56.84509,46,11
1970-01-01 00:00:00.000000118,103.53768,86.59529,57.18557,46,12
1970-01-01 00:00:00.000000119,102.74729,86.37732,58.440388,46,13
1970-01-01 00:00:00.000000120,103.441055,86.087,58.73939,46,14
1970-01-01 00:00:00.000000121,101.046165,86.09857,59.56886,46,15
1970-01-01 00:00:00.000000122,103.24097,86.53936,60.37712,46,16
1970-01-01 00:00:00.000000123,101.0414,86.88369,60.882523,46,17
1970-01-01 00:00:00.000000124,98.83903,87.20101,61.386,46,18
1970-01-01 00:00:00.000000243,107.58356,79.576584,40.70601,53,10
1970-01-01 00:00:00.000000244,110.394,79.15604,41.637733,53,11
1970-01-01 00:00:00.000000245,108.39873,81.02238,42.846256,53,12
1970-01-01 00:00:00.000000246,104.0633,81.00983,42.91956,53,13
1970-01-01 00:00:00.000000247,109.6769,79.130974,41.62422,53,14
1970-01-01 00:00:00.000000248,107.02547,79.939224,40.53144,53,15
1970-01-01 00:00:00.000000249,108.4196,81.06482,40.669357,53,16
1970-01-01 00:00:00.000000250,112.652466,82.286835,41.120754,53,17
1970-01-01 00:00:00.000000251,113.41164,82.71508,41.519085,53,18
1970-01-01 00:00:00.000000252,117.5361,80.77256,40.76003,53,19
1970-01-01 00:00:00.000000253,105.81801,80.65297,39.66435,53,20
1970-01-01 00:00:00.000000254,97.558105,78.556114,42.810577,53,21
1970-01-01 00:00:00.000000255,94.00258,77.608986,45.030872,53,22
1970-01-01 00:00:00.000000256,92.36463,77.36306,46.10726,53,23
1970-01-01 00:00:00.000000257,89.747444,77.3129,47.392933,53,24
1970-01-01 00:00:00.000000258,90.99688,76.80459,45.73205,53,25
1970-01-01 00:00:00.000000259,92.64253,76.49112,43.21179,53,26
1970-01-01 00:00:00.000000260,90.66679,76.37923,42.799,53,27
