RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling
all_targets,10,2,NeuralForecast_Nhits,3.3353026,3.5856059,6.3416986,6.844423,1.4626757,1.5664697,2.2015417,2.3459296
all_targets,10,2,NeuralForecast_XLinear,2.8693862,3.1205957,5.731324,6.2564645,1.3045262,1.40226,1.5723085,1.703066
all_targets,10,2,NeuralForecast_TFT,2.8080323,3.0494845,5.762962,6.2824993,1.2042422,1.2953346,1.4569001,1.5706369
all_targets,10,3,NaiveLastValue,3.4729583,3.883443,7.369443,8.242696,1.3671467,1.5292658,1.6822929,1.8783622
all_targets,10,3,LinearRegression,2.8643677,3.2359726,5.5799785,6.3144493,1.5427047,1.730606,1.4704231,1.6628647
all_targets,10,3,Chronos2,3.6101873,4.0414968,7.4543014,8.350348,1.5440589,1.7167472,1.832205,2.0573947
all_targets,10,3,NeuralForecast_BiTCN,4.469809,4.8525424,8.720855,9.535045,1.8346529,1.9879692,2.8539264,3.0346165
all_targets,10,3,NeuralForecast_TSMixer,3.1189647,3.5121443,6.430941,7.2198663,1.4338129,1.6218371,1.4921409,1.6947314
all_targets,10,3,NeuralForecast_Nhits,3.780125,4.1791964,7.845588,8.69831,1.4733411,1.62573,2.021442,2.2135448
all_targets,10,3,NeuralForecast_XLinear,3.479831,3.9186363,6.8092556,7.6765914,1.6439958,1.8325032,1.9862472,2.2468233
all_targets,10,3,NeuralForecast_TFT,4.079997,4.5128784,7.625985,8.559869,1.8873333,2.0462646,2.726663,2.9325094
