RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_first_chamber_filling,RMSE_first_chamber_filling
target_first_chamber_filling,8,1,NeuralForecast_XLinear,1.1191418,1.1191418,1.1191418,1.1191418
target_first_chamber_filling,8,1,NeuralForecast_TFT,0.9727711,0.9727711,0.9727711,0.9727711
target_first_chamber_filling,8,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
target_first_chamber_filling,8,2,LinearRegression,1.3789,1.4998733,1.3789,1.4998733
target_first_chamber_filling,8,2,Chronos2,1.3566281,1.4569823,1.3566281,1.4569823
target_first_chamber_filling,8,2,NeuralForecast_BiTCN,1.8471774,1.9318376,1.8471774,1.9318376
target_first_chamber_filling,8,2,NeuralForecast_TSMixer,1.94293,2.112155,1.94293,2.112155
target_first_chamber_filling,8,2,NeuralForecast_Nhits,1.2993873,1.40088,1.2993873,1.40088
target_first_chamber_filling,8,2,NeuralForecast_XLinear,1.3867545,1.4955792,1.3867545,1.4955792
target_first_chamber_filling,8,2,NeuralForecast_TFT,1.2063633,1.296103,1.2063633,1.296103
target_first_chamber_filling,8,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
target_first_chamber_filling,8,3,LinearRegression,1.6995636,1.9072018,1.6995636,1.9072018
target_first_chamber_filling,8,3,Chronos2,1.6177024,1.7967138,1.6177024,1.7967138
target_first_chamber_filling,8,3,NeuralForecast_BiTCN,2.0482504,2.2014215,2.0482504,2.2014215
target_first_chamber_filling,8,3,NeuralForecast_TSMixer,1.6285117,1.85694,1.6285117,1.85694
target_first_chamber_filling,8,3,NeuralForecast_Nhits,1.5300645,1.7320942,1.5300645,1.7320942
target_first_chamber_filling,8,3,NeuralForecast_XLinear,1.8266654,2.0162003,1.8266654,2.0162003
target_first_chamber_filling,8,3,NeuralForecast_TFT,1.6660345,1.8183992,1.6660345,1.8183992
target_first_chamber_filling,10,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
target_first_chamber_filling,10,1,LinearRegression,1.0091211,1.0091211,1.0091211,1.0091211
target_first_chamber_filling,10,1,Chronos2,1.0468205,1.0468205,1.0468205,1.0468205
target_first_chamber_filling,10,1,NeuralForecast_BiTCN,1.4324061,1.4324061,1.4324061,1.4324061
target_first_chamber_filling,10,1,NeuralForecast_TSMixer,1.2923192,1.2923192,1.2923192,1.2923192
target_first_chamber_filling,10,1,NeuralForecast_Nhits,0.9730827,0.9730827,0.9730827,0.9730827
target_first_chamber_filling,10,1,NeuralForecast_XLinear,0.9319842,0.9319842,0.9319842,0.9319842
target_first_chamber_filling,10,1,NeuralForecast_TFT,0.9757306,0.9757306,0.9757306,0.9757306
target_first_chamber_filling,10,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
target_first_chamber_filling,10,2,LinearRegression,1.3840903,1.5069315,1.3840903,1.5069315
target_first_chamber_filling,10,2,Chronos2,1.3288072,1.428872,1.3288072,1.428872
target_first_chamber_filling,10,2,NeuralForecast_BiTCN,1.8016772,1.8879325,1.8016772,1.8879325
target_first_chamber_filling,10,2,NeuralForecast_TSMixer,1.3689364,1.5428284,1.3689364,1.5428284
target_first_chamber_filling,10,2,NeuralForecast_Nhits,1.3535544,1.4506071,1.3535544,1.4506071
target_first_chamber_filling,10,2,NeuralForecast_XLinear,1.4245673,1.5309905,1.4245673,1.5309905
target_first_chamber_filling,10,2,NeuralForecast_TFT,1.2600156,1.351415,1.2600156,1.351415
target_first_chamber_filling,10,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
target_first_chamber_filling,10,3,LinearRegression,1.7044522,1.9150237,1.7044522,1.9150237
target_first_chamber_filling,10,3,Chronos2,1.5809637,1.7601718,1.5809637,1.7601718
target_first_chamber_filling,10,3,NeuralForecast_BiTCN,2.1872373,2.3331096,2.1872373,2.3331096
target_first_chamber_filling,10,3,NeuralForecast_TSMixer,1.8217248,2.0905845,1.8217248,2.0905845
target_first_chamber_filling,10,3,NeuralForecast_Nhits,1.4517591,1.6561306,1.4517591,1.6561306
target_first_chamber_filling,10,3,NeuralForecast_XLinear,1.8742182,2.0746758,1.8742182,2.0746758
target_first_chamber_filling,10,3,NeuralForecast_TFT,1.711325,1.8693179,1.711325,1.8693179
