sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000163,76.37827,77,22
1970-01-01 00:00:00.000000164,76.36766,77,23
1970-01-01 00:00:00.000000165,76.77062,77,24
1970-01-01 00:00:00.000000098,100.0,78,10
1970-01-01 00:00:00.000000099,100.0,78,11
1970-01-01 00:00:00.000000100,100.0,78,12
1970-01-01 00:00:00.000000101,100.0,78,13
1970-01-01 00:00:00.000000102,100.0,78,14
1970-01-01 00:00:00.000000103,100.0,78,15
1970-01-01 00:00:00.000000275,83.01601,79,10
1970-01-01 00:00:00.000000276,83.80498,79,11
1970-01-01 00:00:00.000000277,83.37577,79,12
1970-01-01 00:00:00.000000278,82.539536,79,13
1970-01-01 00:00:00.000000279,82.60223,79,14
1970-01-01 00:00:00.000000280,81.87692,79,15
1970-01-01 00:00:00.000000281,81.79012,79,16
1970-01-01 00:00:00.000000282,82.2907,79,17
1970-01-01 00:00:00.000000283,82.03126,79,18
1970-01-01 00:00:00.000000284,82.05633,79,19
1970-01-01 00:00:00.000000285,81.99267,79,20
1970-01-01 00:00:00.000000286,82.20775,79,21
1970-01-01 00:00:00.000000287,81.95313,79,22
1970-01-01 00:00:00.000000288,81.553825,79,23
1970-01-01 00:00:00.000000289,81.8152,79,24
1970-01-01 00:00:00.000000290,81.87307,79,25
1970-01-01 00:00:00.000000291,81.994606,79,26
1970-01-01 00:00:00.000000292,82.06115,79,27
1970-01-01 00:00:00.000000293,81.77856,79,28
1970-01-01 00:00:00.000000294,80.73881,79,29
1970-01-01 00:00:00.000000295,80.645256,79,30
1970-01-01 00:00:00.000000296,79.9267,79,31
1970-01-01 00:00:00.000000297,79.92958,79,32
1970-01-01 00:00:00.000000298,80.14275,79,33
1970-01-01 00:00:00.000000299,80.641396,79,34
1970-01-01 00:00:00.000000300,81.131355,79,35
1970-01-01 00:00:00.000000301,80.353004,79,36
1970-01-01 00:00:00.000000302,81.585655,79,37
1970-01-01 00:00:00.000000303,81.382126,79,38
1970-01-01 00:00:00.000000304,81.35995,79,39
1970-01-01 00:00:00.000000305,81.87886,79,40
1970-01-01 00:00:00.000000306,82.74499,79,41
1970-01-01 00:00:00.000000307,82.68616,79,42
1970-01-01 00:00:00.000000308,82.15952,79,43
1970-01-01 00:00:00.000000309,81.77953,79,44
1970-01-01 00:00:00.000000310,81.68692,79,45
1970-01-01 00:00:00.000000311,81.14623,79,46
1970-01-01 00:00:00.000000148,88.465454,80,10
1970-01-01 00:00:00.000000149,88.4211,80,11
1970-01-01 00:00:00.000000150,88.05748,80,12
1970-01-01 00:00:00.000000151,87.36109,80,13
1970-01-01 00:00:00.000000152,86.64545,80,14
1970-01-01 00:00:00.000000153,86.24229,80,15
1970-01-01 00:00:00.000000154,85.45911,80,16
1970-01-01 00:00:00.000000155,83.76543,80,17
1970-01-01 00:00:00.000000156,93.55421,80,18
1970-01-01 00:00:00.000000157,100.0,80,19
1970-01-01 00:00:00.000000158,100.0,80,20
1970-01-01 00:00:00.000000159,100.0,80,21
1970-01-01 00:00:00.000000160,100.0,80,22
1970-01-01 00:00:00.000000161,100.0,80,23
1970-01-01 00:00:00.000000162,100.0,80,24
1970-01-01 00:00:00.000000125,85.06269,81,10
1970-01-01 00:00:00.000000126,87.9215,81,11
1970-01-01 00:00:00.000000127,88.116325,81,12
1970-01-01 00:00:00.000000128,88.2745,81,13
1970-01-01 00:00:00.000000129,88.29283,81,14
1970-01-01 00:00:00.000000130,88.868645,81,15
1970-01-01 00:00:00.000000131,88.9506,81,16
1970-01-01 00:00:00.000000132,90.344315,81,17
1970-01-01 00:00:00.000000133,86.6252,81,18
1970-01-01 00:00:00.000000134,85.81886,81,19
1970-01-01 00:00:00.000000135,81.94734,81,20
1970-01-01 00:00:00.000000318,79.361496,83,10
1970-01-01 00:00:00.000000319,79.452126,83,11
1970-01-01 00:00:00.000000320,79.640236,83,12
1970-01-01 00:00:00.000000321,79.690384,83,13
1970-01-01 00:00:00.000000322,79.81868,83,14
1970-01-01 00:00:00.000000323,80.081024,83,15
1970-01-01 00:00:00.000000324,80.35301,83,16
1970-01-01 00:00:00.000000325,80.281624,83,17
1970-01-01 00:00:00.000000326,80.07041,83,18
1970-01-01 00:00:00.000000327,79.98843,83,19
1970-01-01 00:00:00.000000328,79.766594,83,20
1970-01-01 00:00:00.000000329,79.41356,83,21
1970-01-01 00:00:00.000000330,79.733795,83,22
1970-01-01 00:00:00.000000331,79.76273,83,23
1970-01-01 00:00:00.000000332,79.728004,83,24
1970-01-01 00:00:00.000000333,79.51678,83,25
1970-01-01 00:00:00.000000334,79.009445,83,26
1970-01-01 00:00:00.000000335,79.33833,83,27
1970-01-01 00:00:00.000000336,79.31326,83,28
1970-01-01 00:00:00.000000337,79.10686,83,29
1970-01-01 00:00:00.000000338,79.27081,83,30
1970-01-01 00:00:00.000000339,79.40778,83,31
1970-01-01 00:00:00.000000340,79.59393,83,32
1970-01-01 00:00:00.000000341,79.82062,83,33
1970-01-01 00:00:00.000000342,80.112854,83,34
1970-01-01 00:00:00.000000343,80.07814,83,35
1970-01-01 00:00:00.000000344,80.30476,83,36
1970-01-01 00:00:00.000000345,80.39448,83,37
1970-01-01 00:00:00.000000346,80.3337,83,38
1970-01-01 00:00:00.000000347,80.60185,83,39
1970-01-01 00:00:00.000000348,80.58835,83,40
1970-01-01 00:00:00.000000349,80.743645,83,41
1970-01-01 00:00:00.000000350,80.92207,83,42
1970-01-01 00:00:00.000000351,81.07059,83,43
1970-01-01 00:00:00.000000352,80.89411,83,44
1970-01-01 00:00:00.000000353,81.20081,83,45
1970-01-01 00:00:00.000000354,81.20659,83,46
1970-01-01 00:00:00.000000355,81.21238,83,47
1970-01-01 00:00:00.000000356,80.98863,83,48
1970-01-01 00:00:00.000000357,80.7369,83,49
1970-01-01 00:00:00.000000358,80.22762,83,50
1970-01-01 00:00:00.000000359,80.66166,83,51
1970-01-01 00:00:00.000000360,81.02044,83,52
1970-01-01 00:00:00.000000361,80.8343,83,53
1970-01-01 00:00:00.000000362,80.775475,83,54
1970-01-01 00:00:00.000000110,93.09416,84,10
1970-01-01 00:00:00.000000111,93.1038,84,11
1970-01-01 00:00:00.000000112,93.22243,84,12
1970-01-01 00:00:00.000000113,93.58891,84,13
1970-01-01 00:00:00.000000114,93.64197,84,14
1970-01-01 00:00:00.000000115,93.57927,84,15
1970-01-01 00:00:00.000000116,93.61593,84,16
1970-01-01 00:00:00.000000117,93.67941,84,17
1970-01-01 00:00:00.000000118,84.32773,85,10
1970-01-01 00:00:00.000000119,85.03567,85,11
1970-01-01 00:00:00.000000120,86.25964,85,12
1970-01-01 00:00:00.000000121,86.75927,85,13
1970-01-01 00:00:00.000000122,87.19423,85,14
1970-01-01 00:00:00.000000123,87.64373,85,15
1970-01-01 00:00:00.000000124,87.925354,85,16
1970-01-01 00:00:00.000000125,88.08932,85,17
1970-01-01 00:00:00.000000126,86.01274,85,18
1970-01-01 00:00:00.000000215,94.00753,86,10
1970-01-01 00:00:00.000000216,93.77315,86,11
1970-01-01 00:00:00.000000217,93.08643,86,12
1970-01-01 00:00:00.000000218,92.09391,86,13
1970-01-01 00:00:00.000000219,91.58371,86,14
1970-01-01 00:00:00.000000220,91.23071,86,15
1970-01-01 00:00:00.000000221,90.95679,86,16
1970-01-01 00:00:00.000000222,91.54609,86,17
1970-01-01 00:00:00.000000223,92.21546,86,18
1970-01-01 00:00:00.000000224,92.839516,86,19
1970-01-01 00:00:00.000000225,92.79608,86,20
1970-01-01 00:00:00.000000226,93.025665,86,21
1970-01-01 00:00:00.000000227,92.32542,86,22
1970-01-01 00:00:00.000000228,91.628075,86,23
1970-01-01 00:00:00.000000229,91.16606,86,24
1970-01-01 00:00:00.000000230,89.67688,86,25
1970-01-01 00:00:00.000000231,88.1877,86,26
1970-01-01 00:00:00.000000232,90.846825,86,27
1970-01-01 00:00:00.000000233,91.1227,86,28
1970-01-01 00:00:00.000000234,92.11901,86,29
1970-01-01 00:00:00.000000235,92.37752,86,30
1970-01-01 00:00:00.000000236,92.82022,86,31
1970-01-01 00:00:00.000000237,92.90509,86,32
1970-01-01 00:00:00.000000238,92.85687,86,33
1970-01-01 00:00:00.000000239,88.83873,86,34
1970-01-01 00:00:00.000000240,82.74458,86,35
1970-01-01 00:00:00.000000385,95.61346,87,10
1970-01-01 00:00:00.000000386,95.61539,87,11
1970-01-01 00:00:00.000000387,95.43405,87,12
1970-01-01 00:00:00.000000388,95.22473,87,13
1970-01-01 00:00:00.000000389,95.13694,87,14
1970-01-01 00:00:00.000000390,94.69232,87,15
1970-01-01 00:00:00.000000391,94.57658,87,16
