sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000130,3753.404,91,124
1970-01-01 00:00:00.000000126,3738.8513,91,125
1970-01-01 00:00:00.000000127,3751.2053,91,125
1970-01-01 00:00:00.000000128,3744.1306,91,125
1970-01-01 00:00:00.000000129,3740.5574,91,125
1970-01-01 00:00:00.000000130,3753.404,91,125
1970-01-01 00:00:00.000000131,3749.752,91,125
1970-01-01 00:00:00.000000127,3751.2053,91,126
1970-01-01 00:00:00.000000128,3744.1306,91,126
1970-01-01 00:00:00.000000129,3740.5574,91,126
1970-01-01 00:00:00.000000130,3753.404,91,126
1970-01-01 00:00:00.000000131,3749.752,91,126
1970-01-01 00:00:00.000000132,3771.324,91,126
1970-01-01 00:00:00.000000128,3744.1306,91,127
1970-01-01 00:00:00.000000129,3740.5574,91,127
1970-01-01 00:00:00.000000130,3753.404,91,127
1970-01-01 00:00:00.000000131,3749.752,91,127
1970-01-01 00:00:00.000000132,3771.324,91,127
1970-01-01 00:00:00.000000133,3791.8413,91,127
1970-01-01 00:00:00.000000129,3740.5574,91,128
1970-01-01 00:00:00.000000130,3753.404,91,128
1970-01-01 00:00:00.000000131,3749.752,91,128
1970-01-01 00:00:00.000000132,3771.324,91,128
1970-01-01 00:00:00.000000133,3791.8413,91,128
1970-01-01 00:00:00.000000134,3794.496,91,128
1970-01-01 00:00:00.000000130,3753.404,91,129
1970-01-01 00:00:00.000000131,3749.752,91,129
1970-01-01 00:00:00.000000132,3771.324,91,129
1970-01-01 00:00:00.000000133,3791.8413,91,129
1970-01-01 00:00:00.000000134,3794.496,91,129
1970-01-01 00:00:00.000000135,3807.7908,91,129
1970-01-01 00:00:00.000000131,3749.752,91,130
1970-01-01 00:00:00.000000132,3771.324,91,130
1970-01-01 00:00:00.000000133,3791.8413,91,130
1970-01-01 00:00:00.000000134,3794.496,91,130
1970-01-01 00:00:00.000000135,3807.7908,91,130
1970-01-01 00:00:00.000000136,3814.394,91,130
1970-01-01 00:00:00.000000132,3771.324,91,131
1970-01-01 00:00:00.000000133,3791.8413,91,131
1970-01-01 00:00:00.000000134,3794.496,91,131
1970-01-01 00:00:00.000000135,3807.7908,91,131
1970-01-01 00:00:00.000000136,3814.394,91,131
1970-01-01 00:00:00.000000137,3815.1394,91,131
1970-01-01 00:00:00.000000133,3791.8413,91,132
1970-01-01 00:00:00.000000134,3794.496,91,132
1970-01-01 00:00:00.000000135,3807.7908,91,132
1970-01-01 00:00:00.000000136,3814.394,91,132
1970-01-01 00:00:00.000000137,3815.1394,91,132
1970-01-01 00:00:00.000000138,3824.946,91,132
1970-01-01 00:00:00.000000134,3794.496,91,133
1970-01-01 00:00:00.000000135,3807.7908,91,133
1970-01-01 00:00:00.000000136,3814.394,91,133
1970-01-01 00:00:00.000000137,3815.1394,91,133
1970-01-01 00:00:00.000000138,3824.946,91,133
1970-01-01 00:00:00.000000139,3821.3452,91,133
1970-01-01 00:00:00.000000135,3807.7908,91,134
1970-01-01 00:00:00.000000136,3814.394,91,134
1970-01-01 00:00:00.000000137,3815.1394,91,134
1970-01-01 00:00:00.000000138,3824.946,91,134
1970-01-01 00:00:00.000000139,3821.3452,91,134
1970-01-01 00:00:00.000000140,3805.9048,91,134
1970-01-01 00:00:00.000000136,3814.394,91,135
1970-01-01 00:00:00.000000137,3815.1394,91,135
1970-01-01 00:00:00.000000138,3824.946,91,135
1970-01-01 00:00:00.000000139,3821.3452,91,135
1970-01-01 00:00:00.000000140,3805.9048,91,135
1970-01-01 00:00:00.000000141,3793.1873,91,135
1970-01-01 00:00:00.000000137,3815.1394,91,136
1970-01-01 00:00:00.000000138,3824.946,91,136
1970-01-01 00:00:00.000000139,3821.3452,91,136
1970-01-01 00:00:00.000000140,3805.9048,91,136
1970-01-01 00:00:00.000000141,3793.1873,91,136
1970-01-01 00:00:00.000000142,3782.0393,91,136
1970-01-01 00:00:00.000000138,3824.946,91,137
1970-01-01 00:00:00.000000139,3821.3452,91,137
1970-01-01 00:00:00.000000140,3805.9048,91,137
1970-01-01 00:00:00.000000141,3793.1873,91,137
1970-01-01 00:00:00.000000142,3782.0393,91,137
1970-01-01 00:00:00.000000143,3773.7927,91,137
1970-01-01 00:00:00.000000139,3821.3452,91,138
1970-01-01 00:00:00.000000140,3805.9048,91,138
1970-01-01 00:00:00.000000141,3793.1873,91,138
1970-01-01 00:00:00.000000142,3782.0393,91,138
1970-01-01 00:00:00.000000143,3773.7927,91,138
1970-01-01 00:00:00.000000144,3773.908,91,138
1970-01-01 00:00:00.000000140,3805.9048,91,139
1970-01-01 00:00:00.000000141,3793.1873,91,139
1970-01-01 00:00:00.000000142,3782.0393,91,139
1970-01-01 00:00:00.000000143,3773.7927,91,139
1970-01-01 00:00:00.000000144,3773.908,91,139
1970-01-01 00:00:00.000000145,3759.8674,91,139
1970-01-01 00:00:00.000000141,3793.1873,91,140
1970-01-01 00:00:00.000000142,3782.0393,91,140
1970-01-01 00:00:00.000000143,3773.7927,91,140
1970-01-01 00:00:00.000000144,3773.908,91,140
1970-01-01 00:00:00.000000145,3759.8674,91,140
1970-01-01 00:00:00.000000146,3751.098,91,140
1970-01-01 00:00:00.000000142,3782.0393,91,141
1970-01-01 00:00:00.000000143,3773.7927,91,141
1970-01-01 00:00:00.000000144,3773.908,91,141
1970-01-01 00:00:00.000000145,3759.8674,91,141
1970-01-01 00:00:00.000000146,3751.098,91,141
1970-01-01 00:00:00.000000147,3754.6152,91,141
1970-01-01 00:00:00.000000143,3773.7927,91,142
1970-01-01 00:00:00.000000144,3773.908,91,142
1970-01-01 00:00:00.000000145,3759.8674,91,142
1970-01-01 00:00:00.000000146,3751.098,91,142
1970-01-01 00:00:00.000000147,3754.6152,91,142
1970-01-01 00:00:00.000000148,3744.038,91,142
1970-01-01 00:00:00.000000144,3773.908,91,143
