sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000008,76.564415,197,7
1970-01-01 00:00:00.000000009,76.18442,197,7
1970-01-01 00:00:00.000000010,76.05999,197,7
1970-01-01 00:00:00.000000011,75.82756,197,7
1970-01-01 00:00:00.000000012,75.68191,197,7
1970-01-01 00:00:00.000000013,75.56617,197,7
1970-01-01 00:00:00.000000009,76.18442,197,8
1970-01-01 00:00:00.000000010,76.05999,197,8
1970-01-01 00:00:00.000000011,75.82756,197,8
1970-01-01 00:00:00.000000012,75.68191,197,8
1970-01-01 00:00:00.000000013,75.56617,197,8
1970-01-01 00:00:00.000000014,75.122505,197,8
1970-01-01 00:00:00.000000010,76.05999,197,9
1970-01-01 00:00:00.000000011,75.82756,197,9
1970-01-01 00:00:00.000000012,75.68191,197,9
1970-01-01 00:00:00.000000013,75.56617,197,9
1970-01-01 00:00:00.000000014,75.122505,197,9
1970-01-01 00:00:00.000000015,74.84182,197,9
1970-01-01 00:00:00.000000011,75.82756,197,10
1970-01-01 00:00:00.000000012,75.68191,197,10
1970-01-01 00:00:00.000000013,75.56617,197,10
1970-01-01 00:00:00.000000014,75.122505,197,10
1970-01-01 00:00:00.000000015,74.84182,197,10
1970-01-01 00:00:00.000000016,74.7608,197,10
1970-01-01 00:00:00.000000012,75.68191,197,11
1970-01-01 00:00:00.000000013,75.56617,197,11
1970-01-01 00:00:00.000000014,75.122505,197,11
1970-01-01 00:00:00.000000015,74.84182,197,11
1970-01-01 00:00:00.000000016,74.7608,197,11
1970-01-01 00:00:00.000000017,74.84567,197,11
1970-01-01 00:00:00.000000013,75.56617,197,12
1970-01-01 00:00:00.000000014,75.122505,197,12
1970-01-01 00:00:00.000000015,74.84182,197,12
1970-01-01 00:00:00.000000016,74.7608,197,12
1970-01-01 00:00:00.000000017,74.84567,197,12
1970-01-01 00:00:00.000000018,75.03473,197,12
1970-01-01 00:00:00.000000014,75.122505,197,13
1970-01-01 00:00:00.000000015,74.84182,197,13
1970-01-01 00:00:00.000000016,74.7608,197,13
1970-01-01 00:00:00.000000017,74.84567,197,13
1970-01-01 00:00:00.000000018,75.03473,197,13
1970-01-01 00:00:00.000000019,74.692314,197,13
1970-01-01 00:00:00.000000015,74.84182,197,14
1970-01-01 00:00:00.000000016,74.7608,197,14
1970-01-01 00:00:00.000000017,74.84567,197,14
1970-01-01 00:00:00.000000018,75.03473,197,14
1970-01-01 00:00:00.000000019,74.692314,197,14
1970-01-01 00:00:00.000000020,74.414536,197,14
1970-01-01 00:00:00.000000016,74.7608,197,15
1970-01-01 00:00:00.000000017,74.84567,197,15
1970-01-01 00:00:00.000000018,75.03473,197,15
1970-01-01 00:00:00.000000019,74.692314,197,15
1970-01-01 00:00:00.000000020,74.414536,197,15
1970-01-01 00:00:00.000000021,73.912994,197,15
1970-01-01 00:00:00.000000017,74.84567,197,16
1970-01-01 00:00:00.000000018,75.03473,197,16
1970-01-01 00:00:00.000000019,74.692314,197,16
1970-01-01 00:00:00.000000020,74.414536,197,16
1970-01-01 00:00:00.000000021,73.912994,197,16
