RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
simple_model,6,2,NeuralForecast_TSMixer,5.6093526,6.0742364,1.2891496,2.970288,3.2234685,3.3827353,0.5094374,0.5500468,0.6416247,0.40929747,0.4399252,0.6868728,18.548388,20.083498,0.44536477
simple_model,6,2,NeuralForecast_Nhits,5.8911033,6.344658,1.2946972,3.0690913,3.3198593,3.3843632,0.48441446,0.5223921,0.6106231,0.42700496,0.46128976,0.7111412,19.583933,21.075106,0.47266284
simple_model,6,2,NeuralForecast_XLinear,5.3352413,5.775526,1.2692077,3.1176987,3.3678415,3.429333,0.4620981,0.50196975,0.58471566,0.3853875,0.4195941,0.6452062,17.375763,18.812693,0.41757384
simple_model,6,2,NeuralForecast_TFT,11.666847,11.987935,2.0046039,4.050685,4.2816567,4.721249,0.5911527,0.62580556,0.7428254,0.9968005,1.0253758,1.5071013,41.028778,42.018852,1.0472345
simple_model,6,4,NaiveLastValue,7.821426,8.766336,1.6578298,3.9029443,4.396313,4.2168794,0.663824,0.7533008,0.8342585,0.57149786,0.63734907,0.9496055,26.1474,29.278366,0.63057446
simple_model,6,4,LinearRegression,7.5459514,8.54866,1.5105118,3.3318012,3.7800882,3.666523,0.68842924,0.7832327,0.86783105,0.53699195,0.60361516,0.88682264,25.626568,29.027716,0.62087274
simple_model,6,4,Chronos2,8.663325,9.673583,1.8110571,4.241369,4.7810993,4.5721292,0.76808923,0.86794144,0.96359026,0.60687906,0.6827598,1.0072184,29.036991,32.36255,0.70128137
simple_model,6,4,NeuralForecast_BiTCN,11.666802,12.617275,2.4339423,5.6818724,6.117906,5.974313,1.1152805,1.1915509,1.3648065,0.8800859,0.9363038,1.4490762,38.989937,42.22334,0.94758207
simple_model,6,4,NeuralForecast_TSMixer,8.02332,8.98639,1.6614738,3.7983902,4.262724,4.2102985,0.67250717,0.7638612,0.85001206,0.55897737,0.62437904,0.9315136,27.063385,30.294622,0.6540506
simple_model,6,4,NeuralForecast_Nhits,8.3923645,9.355789,1.6874146,3.9037335,4.399256,4.226412,0.6716452,0.7618712,0.84373826,0.594293,0.66316766,0.98947114,28.399757,31.59889,0.69004
simple_model,6,4,NeuralForecast_XLinear,7.7627983,8.722462,1.6535143,3.9494102,4.4336863,4.26455,0.65790486,0.74727935,0.83114904,0.53570473,0.6027143,0.8936156,25.908182,29.106173,0.6247458
simple_model,6,4,NeuralForecast_TFT,9.634542,10.50504,2.0596502,4.383688,4.842989,4.7270765,0.7293445,0.8155214,0.9142782,1.2094232,1.269463,1.8318404,32.21571,35.092175,0.76541424
simple_model,6,6,NaiveLastValue,9.498532,10.827387,1.9943373,4.7106996,5.3768096,5.0119267,0.81364363,0.9426407,1.0190877,0.70847887,0.8016612,1.1756299,31.761324,36.188465,0.7707044
simple_model,6,6,LinearRegression,9.636072,11.041288,1.8402944,4.027686,4.637877,4.3663754,0.8571284,0.99210477,1.078032,0.676147,0.7717341,1.1121334,32.983383,37.76341,0.8046342
simple_model,6,6,Chronos2,10.44234,11.851206,2.174437,5.1159525,5.8456397,5.408689,0.9335253,1.0811008,1.1689476,0.76619637,0.8734804,1.2706182,34.953686,39.604595,0.8494789
simple_model,6,6,NeuralForecast_BiTCN,13.864358,15.057578,2.7532969,6.354592,6.9623117,6.6782103,1.1732974,1.2863283,1.4514636,1.0619849,1.139685,1.7457662,46.867588,50.841995,1.1377393
simple_model,6,6,NeuralForecast_TSMixer,9.573308,10.918546,1.958973,4.4606495,5.082216,4.8705606,0.8211599,0.9563309,1.0337391,0.6908374,0.7822889,1.1465875,32.320568,36.85334,0.7850117
simple_model,6,6,NeuralForecast_Nhits,10.342619,11.622521,2.0485911,4.7306504,5.4052687,5.050157,0.8258885,0.95445323,1.0336963,0.7564246,0.84743357,1.2524536,35.05755,39.282913,0.8580532
simple_model,6,6,NeuralForecast_XLinear,9.61047,10.941631,1.975812,4.675253,5.339921,4.9866996,0.8106193,0.93941504,1.0211875,0.667999,0.7633512,1.1113392,32.288017,36.72381,0.7840208
simple_model,6,6,NeuralForecast_TFT,11.388071,12.57228,2.2372005,4.9717956,5.618951,5.307359,0.90387404,1.0273421,1.1342977,0.97696203,1.0636843,1.5536085,38.699665,42.57916,0.95354676
simple_model,8,2,NaiveLastValue,5.5685945,5.993977,1.2759547,3.0693145,3.3175652,3.3753145,0.48103252,0.5186568,0.6064638,0.4088787,0.44043845,0.68182945,18.315159,19.699247,0.44020745
simple_model,8,2,LinearRegression,4.798564,5.1973324,1.1517808,2.652058,2.8922677,2.9676323,0.49183273,0.53417563,0.6199777,0.3863646,0.41848484,0.64174926,15.663995,16.944403,0.3777629
simple_model,8,2,Chronos2,5.822736,6.2643538,1.369119,3.2933192,3.552434,3.6333575,0.5417472,0.5838052,0.6793949,0.42363495,0.45833766,0.7049157,19.032219,20.462841,0.45880994
simple_model,8,2,NeuralForecast_BiTCN,10.950153,11.284869,2.353946,5.4362617,5.6525292,5.780564,1.0531099,1.0833161,1.2919046,0.9035786,0.9263426,1.4672785,36.407673,37.47729,0.87603664
simple_model,8,2,NeuralForecast_TSMixer,5.9540367,6.372623,1.2884735,3.008358,3.253689,3.3643365,0.49542907,0.5386401,0.6283934,0.40947962,0.44184944,0.6827346,19.902836,21.256298,0.47842503
simple_model,8,2,NeuralForecast_Nhits,5.678991,6.1062155,1.2780291,3.05813,3.306227,3.3677285,0.48191407,0.5197439,0.60746944,0.41045168,0.44260642,0.6854244,18.765442,20.156277,0.45149076
simple_model,8,2,NeuralForecast_XLinear,5.405831,5.852136,1.2579926,3.0594811,3.3107224,3.3792403,0.4648593,0.50578684,0.5883595,0.38110146,0.41582444,0.63831097,17.717861,19.176208,0.4260613
