RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_second_chamber_filling,RMSE_second_chamber_filling
target_second_chamber_filling,8,2,NeuralForecast_BiTCN,2.4217517,2.5144236,2.4217517,2.5144236
target_second_chamber_filling,8,2,NeuralForecast_TSMixer,1.8084141,1.9822257,1.8084141,1.9822257
target_second_chamber_filling,8,2,NeuralForecast_Nhits,1.8422005,1.966958,1.8422005,1.966958
target_second_chamber_filling,8,2,NeuralForecast_XLinear,1.3768742,1.5010056,1.3768742,1.5010056
target_second_chamber_filling,8,2,NeuralForecast_TFT,1.6865264,1.7936251,1.6865264,1.7936251
target_second_chamber_filling,8,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
target_second_chamber_filling,8,3,LinearRegression,1.7923827,2.0129776,1.7923827,2.0129776
target_second_chamber_filling,8,3,Chronos2,2.0029895,2.2339447,2.0029895,2.2339447
target_second_chamber_filling,8,3,NeuralForecast_BiTCN,2.8515787,3.0260098,2.8515787,3.0260098
target_second_chamber_filling,8,3,NeuralForecast_TSMixer,1.7508628,1.9821713,1.7508628,1.9821713
target_second_chamber_filling,8,3,NeuralForecast_Nhits,1.9199073,2.1562135,1.9199073,2.1562135
target_second_chamber_filling,8,3,NeuralForecast_XLinear,1.6910732,1.8968331,1.6910732,1.8968331
target_second_chamber_filling,8,3,NeuralForecast_TFT,2.1096709,2.309412,2.1096709,2.309412
target_second_chamber_filling,10,1,NaiveLastValue,0.9274494,0.9274494,0.9274494,0.9274494
target_second_chamber_filling,10,1,LinearRegression,0.95645356,0.95645356,0.95645356,0.95645356
target_second_chamber_filling,10,1,Chronos2,1.0780133,1.0780133,1.0780133,1.0780133
target_second_chamber_filling,10,1,NeuralForecast_BiTCN,2.0104468,2.0104468,2.0104468,2.0104468
target_second_chamber_filling,10,1,NeuralForecast_TSMixer,1.2272846,1.2272846,1.2272846,1.2272846
target_second_chamber_filling,10,1,NeuralForecast_Nhits,1.2647165,1.2647165,1.2647165,1.2647165
target_second_chamber_filling,10,1,NeuralForecast_XLinear,1.1073612,1.1073612,1.1073612,1.1073612
target_second_chamber_filling,10,1,NeuralForecast_TFT,1.2395147,1.2395147,1.2395147,1.2395147
target_second_chamber_filling,10,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
target_second_chamber_filling,10,2,LinearRegression,1.3778883,1.5043182,1.3778883,1.5043182
target_second_chamber_filling,10,2,Chronos2,1.504614,1.6241424,1.504614,1.6241424
target_second_chamber_filling,10,2,NeuralForecast_BiTCN,2.6053183,2.6964185,2.6053183,2.6964185
target_second_chamber_filling,10,2,NeuralForecast_TSMixer,1.67547,1.8022717,1.67547,1.8022717
target_second_chamber_filling,10,2,NeuralForecast_Nhits,1.8253858,1.9516206,1.8253858,1.9516206
target_second_chamber_filling,10,2,NeuralForecast_XLinear,1.4517409,1.5741076,1.4517409,1.5741076
target_second_chamber_filling,10,2,NeuralForecast_TFT,1.6351868,1.743135,1.6351868,1.743135
target_second_chamber_filling,10,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
target_second_chamber_filling,10,3,LinearRegression,1.8069702,2.030067,1.8069702,2.030067
target_second_chamber_filling,10,3,Chronos2,1.9249891,2.1542788,1.9249891,2.1542788
target_second_chamber_filling,10,3,NeuralForecast_BiTCN,2.9960337,3.1705844,2.9960337,3.1705844
target_second_chamber_filling,10,3,NeuralForecast_TSMixer,2.072497,2.3133655,2.072497,2.3133655
target_second_chamber_filling,10,3,NeuralForecast_Nhits,1.9032694,2.1090782,1.9032694,2.1090782
target_second_chamber_filling,10,3,NeuralForecast_XLinear,1.8673136,2.0733373,1.8673136,2.0733373
target_second_chamber_filling,10,3,NeuralForecast_TFT,2.0386403,2.2282095,2.0386403,2.2282095
