sequence_index,return,block_idx,fcst_origin
1970-01-01 00:00:00.000000046,156.20203,189,44
1970-01-01 00:00:00.000000047,152.46024,189,44
1970-01-01 00:00:00.000000048,146.4519,189,44
1970-01-01 00:00:00.000000049,146.00673,189,44
1970-01-01 00:00:00.000000050,144.55544,189,44
1970-01-01 00:00:00.000000046,156.20203,189,45
1970-01-01 00:00:00.000000047,152.46024,189,45
1970-01-01 00:00:00.000000048,146.4519,189,45
1970-01-01 00:00:00.000000049,146.00673,189,45
1970-01-01 00:00:00.000000050,144.55544,189,45
1970-01-01 00:00:00.000000051,150.45,189,45
1970-01-01 00:00:00.000000047,152.46024,189,46
1970-01-01 00:00:00.000000048,146.4519,189,46
1970-01-01 00:00:00.000000049,146.00673,189,46
1970-01-01 00:00:00.000000050,144.55544,189,46
1970-01-01 00:00:00.000000051,150.45,189,46
1970-01-01 00:00:00.000000052,155.32156,189,46
1970-01-01 00:00:00.000000048,146.4519,189,47
1970-01-01 00:00:00.000000049,146.00673,189,47
1970-01-01 00:00:00.000000050,144.55544,189,47
1970-01-01 00:00:00.000000051,150.45,189,47
1970-01-01 00:00:00.000000052,155.32156,189,47
1970-01-01 00:00:00.000000053,159.05074,189,47
1970-01-01 00:00:00.000000049,146.00673,189,48
1970-01-01 00:00:00.000000050,144.55544,189,48
1970-01-01 00:00:00.000000051,150.45,189,48
1970-01-01 00:00:00.000000052,155.32156,189,48
1970-01-01 00:00:00.000000053,159.05074,189,48
1970-01-01 00:00:00.000000054,151.73557,189,48
1970-01-01 00:00:00.000000050,144.55544,189,49
1970-01-01 00:00:00.000000051,150.45,189,49
1970-01-01 00:00:00.000000052,155.32156,189,49
1970-01-01 00:00:00.000000053,159.05074,189,49
1970-01-01 00:00:00.000000054,151.73557,189,49
1970-01-01 00:00:00.000000055,152.2876,189,49
1970-01-01 00:00:00.000000051,150.45,189,50
1970-01-01 00:00:00.000000052,155.32156,189,50
1970-01-01 00:00:00.000000053,159.05074,189,50
1970-01-01 00:00:00.000000054,151.73557,189,50
1970-01-01 00:00:00.000000055,152.2876,189,50
1970-01-01 00:00:00.000000056,151.59436,189,50
1970-01-01 00:00:00.000000052,155.32156,189,51
1970-01-01 00:00:00.000000053,159.05074,189,51
1970-01-01 00:00:00.000000054,151.73557,189,51
1970-01-01 00:00:00.000000055,152.2876,189,51
1970-01-01 00:00:00.000000056,151.59436,189,51
1970-01-01 00:00:00.000000057,151.06357,189,51
1970-01-01 00:00:00.000000053,159.05074,189,52
1970-01-01 00:00:00.000000054,151.73557,189,52
1970-01-01 00:00:00.000000055,152.2876,189,52
1970-01-01 00:00:00.000000056,151.59436,189,52
1970-01-01 00:00:00.000000057,151.06357,189,52
1970-01-01 00:00:00.000000058,149.98506,189,52
1970-01-01 00:00:00.000000054,151.73557,189,53
1970-01-01 00:00:00.000000055,152.2876,189,53
1970-01-01 00:00:00.000000056,151.59436,189,53
1970-01-01 00:00:00.000000057,151.06357,189,53
1970-01-01 00:00:00.000000058,149.98506,189,53
1970-01-01 00:00:00.000000059,149.37427,189,53
1970-01-01 00:00:00.000000055,152.2876,189,54
1970-01-01 00:00:00.000000056,151.59436,189,54
1970-01-01 00:00:00.000000057,151.06357,189,54
1970-01-01 00:00:00.000000058,149.98506,189,54
1970-01-01 00:00:00.000000059,149.37427,189,54
1970-01-01 00:00:00.000000060,149.23103,189,54
1970-01-01 00:00:00.000000007,151.75386,190,6
1970-01-01 00:00:00.000000008,154.53853,190,6
1970-01-01 00:00:00.000000009,157.20107,190,6
1970-01-01 00:00:00.000000010,157.7678,190,6
1970-01-01 00:00:00.000000011,153.61996,190,6
1970-01-01 00:00:00.000000012,153.3499,190,6
1970-01-01 00:00:00.000000008,154.53853,190,7
1970-01-01 00:00:00.000000009,157.20107,190,7
1970-01-01 00:00:00.000000010,157.7678,190,7
1970-01-01 00:00:00.000000011,153.61996,190,7
1970-01-01 00:00:00.000000012,153.3499,190,7
1970-01-01 00:00:00.000000013,151.52287,190,7
1970-01-01 00:00:00.000000009,157.20107,190,8
1970-01-01 00:00:00.000000010,157.7678,190,8
1970-01-01 00:00:00.000000011,153.61996,190,8
1970-01-01 00:00:00.000000012,153.3499,190,8
1970-01-01 00:00:00.000000013,151.52287,190,8
1970-01-01 00:00:00.000000014,150.65424,190,8
1970-01-01 00:00:00.000000010,157.7678,190,9
1970-01-01 00:00:00.000000011,153.61996,190,9
1970-01-01 00:00:00.000000012,153.3499,190,9
1970-01-01 00:00:00.000000013,151.52287,190,9
1970-01-01 00:00:00.000000014,150.65424,190,9
1970-01-01 00:00:00.000000015,147.82164,190,9
1970-01-01 00:00:00.000000011,153.61996,190,10
1970-01-01 00:00:00.000000012,153.3499,190,10
1970-01-01 00:00:00.000000013,151.52287,190,10
1970-01-01 00:00:00.000000014,150.65424,190,10
1970-01-01 00:00:00.000000015,147.82164,190,10
1970-01-01 00:00:00.000000016,150.07863,190,10
1970-01-01 00:00:00.000000012,153.3499,190,11
1970-01-01 00:00:00.000000013,151.52287,190,11
1970-01-01 00:00:00.000000014,150.65424,190,11
1970-01-01 00:00:00.000000015,147.82164,190,11
1970-01-01 00:00:00.000000016,150.07863,190,11
1970-01-01 00:00:00.000000017,157.88303,190,11
1970-01-01 00:00:00.000000013,151.52287,190,12
1970-01-01 00:00:00.000000014,150.65424,190,12
1970-01-01 00:00:00.000000015,147.82164,190,12
1970-01-01 00:00:00.000000016,150.07863,190,12
1970-01-01 00:00:00.000000017,157.88303,190,12
1970-01-01 00:00:00.000000018,164.32584,190,12
1970-01-01 00:00:00.000000014,150.65424,190,13
1970-01-01 00:00:00.000000015,147.82164,190,13
1970-01-01 00:00:00.000000016,150.07863,190,13
1970-01-01 00:00:00.000000017,157.88303,190,13
1970-01-01 00:00:00.000000018,164.32584,190,13
1970-01-01 00:00:00.000000019,158.82513,190,13
1970-01-01 00:00:00.000000015,147.82164,190,14
1970-01-01 00:00:00.000000016,150.07863,190,14
1970-01-01 00:00:00.000000017,157.88303,190,14
1970-01-01 00:00:00.000000018,164.32584,190,14
1970-01-01 00:00:00.000000019,158.82513,190,14
1970-01-01 00:00:00.000000020,156.1836,190,14
1970-01-01 00:00:00.000000016,150.07863,190,15
1970-01-01 00:00:00.000000017,157.88303,190,15
1970-01-01 00:00:00.000000018,164.32584,190,15
1970-01-01 00:00:00.000000019,158.82513,190,15
1970-01-01 00:00:00.000000020,156.1836,190,15
1970-01-01 00:00:00.000000021,155.4395,190,15
1970-01-01 00:00:00.000000017,157.88303,190,16
1970-01-01 00:00:00.000000018,164.32584,190,16
1970-01-01 00:00:00.000000019,158.82513,190,16
1970-01-01 00:00:00.000000020,156.1836,190,16
1970-01-01 00:00:00.000000021,155.4395,190,16
1970-01-01 00:00:00.000000022,154.7211,190,16
1970-01-01 00:00:00.000000018,164.32584,190,17
1970-01-01 00:00:00.000000019,158.82513,190,17
1970-01-01 00:00:00.000000020,156.1836,190,17
1970-01-01 00:00:00.000000021,155.4395,190,17
1970-01-01 00:00:00.000000022,154.7211,190,17
1970-01-01 00:00:00.000000023,154.0991,190,17
1970-01-01 00:00:00.000000019,158.82513,190,18
1970-01-01 00:00:00.000000020,156.1836,190,18
1970-01-01 00:00:00.000000021,155.4395,190,18
1970-01-01 00:00:00.000000022,154.7211,190,18
1970-01-01 00:00:00.000000023,154.0991,190,18
1970-01-01 00:00:00.000000024,151.93817,190,18
1970-01-01 00:00:00.000000020,156.1836,190,19
1970-01-01 00:00:00.000000021,155.4395,190,19
1970-01-01 00:00:00.000000022,154.7211,190,19
1970-01-01 00:00:00.000000023,154.0991,190,19
1970-01-01 00:00:00.000000024,151.93817,190,19
1970-01-01 00:00:00.000000025,150.06163,190,19
1970-01-01 00:00:00.000000021,155.4395,190,20
1970-01-01 00:00:00.000000022,154.7211,190,20
1970-01-01 00:00:00.000000023,154.0991,190,20
1970-01-01 00:00:00.000000024,151.93817,190,20
1970-01-01 00:00:00.000000025,150.06163,190,20
1970-01-01 00:00:00.000000026,149.9329,190,20
1970-01-01 00:00:00.000000022,154.7211,190,21
1970-01-01 00:00:00.000000023,154.0991,190,21
1970-01-01 00:00:00.000000024,151.93817,190,21
1970-01-01 00:00:00.000000025,150.06163,190,21
1970-01-01 00:00:00.000000026,149.9329,190,21
1970-01-01 00:00:00.000000027,149.3567,190,21
1970-01-01 00:00:00.000000023,154.0991,190,22
1970-01-01 00:00:00.000000024,151.93817,190,22
1970-01-01 00:00:00.000000025,150.06163,190,22
1970-01-01 00:00:00.000000026,149.9329,190,22
1970-01-01 00:00:00.000000027,149.3567,190,22
1970-01-01 00:00:00.000000028,149.6821,190,22
1970-01-01 00:00:00.000000024,151.93817,190,23
1970-01-01 00:00:00.000000025,150.06163,190,23
1970-01-01 00:00:00.000000026,149.9329,190,23
1970-01-01 00:00:00.000000027,149.3567,190,23
1970-01-01 00:00:00.000000028,149.6821,190,23
1970-01-01 00:00:00.000000029,150.9081,190,23
1970-01-01 00:00:00.000000025,150.06163,190,24
1970-01-01 00:00:00.000000026,149.9329,190,24
1970-01-01 00:00:00.000000027,149.3567,190,24
1970-01-01 00:00:00.000000028,149.6821,190,24
1970-01-01 00:00:00.000000029,150.9081,190,24
1970-01-01 00:00:00.000000030,160.28943,190,24
1970-01-01 00:00:00.000000026,149.9329,190,25
1970-01-01 00:00:00.000000027,149.3567,190,25
1970-01-01 00:00:00.000000028,149.6821,190,25
1970-01-01 00:00:00.000000029,150.9081,190,25
1970-01-01 00:00:00.000000030,160.28943,190,25
1970-01-01 00:00:00.000000031,166.0623,190,25
1970-01-01 00:00:00.000000027,149.3567,190,26
1970-01-01 00:00:00.000000028,149.6821,190,26
1970-01-01 00:00:00.000000029,150.9081,190,26
1970-01-01 00:00:00.000000030,160.28943,190,26
1970-01-01 00:00:00.000000031,166.0623,190,26
1970-01-01 00:00:00.000000032,163.30586,190,26
1970-01-01 00:00:00.000000028,149.6821,190,27
1970-01-01 00:00:00.000000029,150.9081,190,27
1970-01-01 00:00:00.000000030,160.28943,190,27
1970-01-01 00:00:00.000000031,166.0623,190,27
1970-01-01 00:00:00.000000032,163.30586,190,27
1970-01-01 00:00:00.000000033,160.02963,190,27
1970-01-01 00:00:00.000000029,150.9081,190,28
1970-01-01 00:00:00.000000030,160.28943,190,28
1970-01-01 00:00:00.000000031,166.0623,190,28
1970-01-01 00:00:00.000000032,163.30586,190,28
1970-01-01 00:00:00.000000033,160.02963,190,28
1970-01-01 00:00:00.000000034,158.8364,190,28
1970-01-01 00:00:00.000000030,160.28943,190,29
1970-01-01 00:00:00.000000031,166.0623,190,29
1970-01-01 00:00:00.000000032,163.30586,190,29
1970-01-01 00:00:00.000000033,160.02963,190,29
1970-01-01 00:00:00.000000034,158.8364,190,29
1970-01-01 00:00:00.000000035,160.8214,190,29
1970-01-01 00:00:00.000000031,166.0623,190,30
1970-01-01 00:00:00.000000032,163.30586,190,30
1970-01-01 00:00:00.000000033,160.02963,190,30
1970-01-01 00:00:00.000000034,158.8364,190,30
1970-01-01 00:00:00.000000035,160.8214,190,30
1970-01-01 00:00:00.000000036,160.0586,190,30
1970-01-01 00:00:00.000000032,163.30586,190,31
1970-01-01 00:00:00.000000033,160.02963,190,31
1970-01-01 00:00:00.000000034,158.8364,190,31
1970-01-01 00:00:00.000000035,160.8214,190,31
1970-01-01 00:00:00.000000036,160.0586,190,31
1970-01-01 00:00:00.000000037,159.17836,190,31
1970-01-01 00:00:00.000000033,160.02963,190,32
1970-01-01 00:00:00.000000034,158.8364,190,32
1970-01-01 00:00:00.000000035,160.8214,190,32
1970-01-01 00:00:00.000000036,160.0586,190,32
1970-01-01 00:00:00.000000037,159.17836,190,32
1970-01-01 00:00:00.000000038,160.50436,190,32
1970-01-01 00:00:00.000000034,158.8364,190,33
1970-01-01 00:00:00.000000035,160.8214,190,33
1970-01-01 00:00:00.000000036,160.0586,190,33
1970-01-01 00:00:00.000000037,159.17836,190,33
1970-01-01 00:00:00.000000038,160.50436,190,33
1970-01-01 00:00:00.000000039,160.63353,190,33
1970-01-01 00:00:00.000000035,160.8214,190,34
1970-01-01 00:00:00.000000036,160.0586,190,34
1970-01-01 00:00:00.000000037,159.17836,190,34
1970-01-01 00:00:00.000000038,160.50436,190,34
1970-01-01 00:00:00.000000039,160.63353,190,34
1970-01-01 00:00:00.000000040,161.3719,190,34
1970-01-01 00:00:00.000000036,160.0586,190,35
1970-01-01 00:00:00.000000037,159.17836,190,35
1970-01-01 00:00:00.000000038,160.50436,190,35
1970-01-01 00:00:00.000000039,160.63353,190,35
1970-01-01 00:00:00.000000040,161.3719,190,35
1970-01-01 00:00:00.000000041,160.81464,190,35
1970-01-01 00:00:00.000000037,159.17836,190,36
