RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
target_gran1_blain,60,60,Darts_DLinear,59.18666087138739,73.5901880632565,1.3789636475563978,59.18666087138739,73.5901880632565,1.3789636475563978
target_gran1_blain,60,60,Darts_NLinear,30.59902570696796,36.1694995423679,0.7169213356042565,30.59902570696796,36.1694995423679,0.7169213356042565
target_gran1_blain,60,60,NeuralForecast_BiTCN,41.745000621566874,44.90231553799241,0.9426106604479261,41.745000621566874,44.90231553799241,0.9426106604479261
target_gran1_blain,60,60,NeuralForecast_TSMixer,22.846597806295637,26.415859812143037,0.5321574749615848,22.846597806295637,26.415859812143037,0.5321574749615848
target_gran1_blain,60,60,NeuralForecast_Nhits,23.66205255765347,27.674363534581616,0.5500190404315597,23.66205255765347,27.674363534581616,0.5500190404315597
target_gran1_blain,60,60,NeuralForecast_XLinear,22.918632896141492,26.734879299826996,0.5320700943630433,22.918632896141492,26.734879299826996,0.5320700943630433
target_gran1_blain,120,15,NaiveLastValue,9.81900712719298,11.304372235484609,0.22722373714554678,9.81900712719298,11.304372235484609,0.22722373714554678
target_gran1_blain,120,15,LinearRegression,10.115603994931558,11.691807044171275,0.22800079486148875,10.115603994931558,11.691807044171275,0.22800079486148875
target_gran1_blain,120,15,Darts_DLinear,137.05497407554282,254.97834892485412,3.283495347129177,137.05497407554282,254.97834892485412,3.283495347129177
target_gran1_blain,120,15,Darts_NLinear,26.841611452508396,34.41821087022786,0.6334032697427036,26.841611452508396,34.41821087022786,0.6334032697427036
target_gran1_blain,120,15,NeuralForecast_BiTCN,31.07093157246202,32.11754001990805,0.7065132252898106,31.07093157246202,32.11754001990805,0.7065132252898106
target_gran1_blain,120,15,NeuralForecast_TSMixer,7.532414825900444,8.625655404977323,0.173227766500201,7.532414825900444,8.625655404977323,0.173227766500201
target_gran1_blain,120,15,NeuralForecast_Nhits,9.840316027072001,11.334145106286808,0.22773334340720797,9.840316027072001,11.334145106286808,0.22773334340720797
target_gran1_blain,120,15,NeuralForecast_XLinear,7.891426795066221,9.045244743850839,0.18258120975023182,7.891426795066221,9.045244743850839,0.18258120975023182
target_gran1_blain,120,30,NaiveLastValue,15.52828334025758,18.023059273433176,0.3593190887711742,15.52828334025758,18.023059273433176,0.3593190887711742
target_gran1_blain,120,30,LinearRegression,15.919187635004443,18.554636549174813,0.36097113393369956,15.919187635004443,18.554636549174813,0.36097113393369956
target_gran1_blain,120,30,Darts_DLinear,121.66711690855516,198.05355463252667,2.905734158096888,121.66711690855516,198.05355463252667,2.905734158096888
