RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling
target_first_chamber_filling,60,30,NeuralForecast_BiTCN,0.7000295695672966,0.7589761475962034,0.8232594495560965,0.7000295695672966,0.7589761475962034,0.8232594495560965
target_first_chamber_filling,60,30,NeuralForecast_TSMixer,0.4268839207598435,0.5029276904648828,0.5166599264825728,0.4268839207598435,0.5029276904648828,0.5166599264825728
target_first_chamber_filling,60,30,NeuralForecast_Nhits,0.38012885824575493,0.45138203245630426,0.45739001887509795,0.38012885824575493,0.45138203245630426,0.45739001887509795
target_first_chamber_filling,60,30,NeuralForecast_XLinear,0.4045088794301567,0.4791680709516393,0.48910842359545864,0.4045088794301567,0.4791680709516393,0.48910842359545864
target_first_chamber_filling,60,60,NaiveLastValue,0.6345339753924485,0.7646421297023027,0.7654301544793307,0.6345339753924485,0.7646421297023027,0.7654301544793307
target_first_chamber_filling,60,60,LinearRegression,0.6875126291245324,0.810835952704903,0.8099451137352262,0.6875126291245324,0.810835952704903,0.8099451137352262
target_first_chamber_filling,60,60,Darts_DLinear,1.2035412620019816,1.507912492625943,1.393918203277799,1.2035412620019816,1.507912492625943,1.393918203277799
target_first_chamber_filling,60,60,Darts_NLinear,0.7609247908126674,0.9152739442977771,0.8970098632644357,0.7609247908126674,0.9152739442977771,0.8970098632644357
target_first_chamber_filling,60,60,NeuralForecast_BiTCN,1.0763803906775111,1.1710466357086617,1.2531851798154554,1.0763803906775111,1.1710466357086617,1.2531851798154554
target_first_chamber_filling,60,60,NeuralForecast_TSMixer,0.6300582088067899,0.751666698012032,0.7617759506233218,0.6300582088067899,0.751666698012032,0.7617759506233218
target_first_chamber_filling,60,60,NeuralForecast_Nhits,0.5970283576912001,0.7125350823007057,0.718565669845751,0.5970283576912001,0.7125350823007057,0.718565669845751
target_first_chamber_filling,60,60,NeuralForecast_XLinear,0.6033526175168563,0.7254411454584282,0.7304387761319315,0.6033526175168563,0.7254411454584282,0.7304387761319315
target_first_chamber_filling,120,15,NaiveLastValue,0.2723790515350893,0.3227823955291092,0.33000535091022937,0.2723790515350893,0.3227823955291092,0.33000535091022937
target_first_chamber_filling,120,15,LinearRegression,0.31473405242609725,0.3672712520184455,0.37277070852247257,0.31473405242609725,0.3672712520184455,0.37277070852247257
target_first_chamber_filling,120,15,Darts_DLinear,1.567991510383515,2.645087182426981,1.7795635228171427,1.567991510383515,2.645087182426981,1.7795635228171427
target_first_chamber_filling,120,15,Darts_NLinear,0.6068634016099093,0.7410382463977782,0.7008857117541037,0.6068634016099093,0.7410382463977782,0.7008857117541037
target_first_chamber_filling,120,15,NeuralForecast_BiTCN,0.5404511592110637,0.5753076452410274,0.6340815284138025,0.5404511592110637,0.5753076452410274,0.6340815284138025
