RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling
target_second_chamber_filling,120,15,NeuralForecast_BiTCN,0.6255586224815217,0.6998037025122367,1.0550816940839158,0.6255586224815217,0.6998037025122367,1.0550816940839158
target_second_chamber_filling,120,15,NeuralForecast_TSMixer,0.42082651977036817,0.4978153382973278,0.730999394266238,0.42082651977036817,0.4978153382973278,0.730999394266238
target_second_chamber_filling,120,15,NeuralForecast_Nhits,0.4530240041750151,0.5335829747586582,0.7889301043974775,0.4530240041750151,0.5335829747586582,0.7889301043974775
target_second_chamber_filling,120,15,NeuralForecast_XLinear,0.42012422121591697,0.49843520967697724,0.7307338924893025,0.42012422121591697,0.49843520967697724,0.7307338924893025
target_second_chamber_filling,120,30,NaiveLastValue,0.5485446309375436,0.6506364644890495,0.9499685866815465,0.5485446309375436,0.6506364644890495,0.9499685866815465
target_second_chamber_filling,120,30,LinearRegression,0.5073844773760077,0.608793719796467,0.8757627688715525,0.5073844773760077,0.608793719796467,0.8757627688715525
target_second_chamber_filling,120,30,Darts_DLinear,1.5490879024386086,2.119355423777804,2.5763375952534857,1.5490879024386086,2.119355423777804,2.5763375952534857
target_second_chamber_filling,120,30,Darts_NLinear,0.8638897423582065,1.078164665173578,1.4629114565207004,0.8638897423582065,1.078164665173578,1.4629114565207004
target_second_chamber_filling,120,30,NeuralForecast_BiTCN,0.7101858429548911,0.8048925309194447,1.1981333278999111,0.7101858429548911,0.8048925309194447,1.1981333278999111
target_second_chamber_filling,120,30,NeuralForecast_TSMixer,0.5139067481882608,0.6113628320772474,0.8827549652080838,0.5139067481882608,0.6113628320772474,0.8827549652080838
target_second_chamber_filling,120,30,NeuralForecast_Nhits,0.5491135478164314,0.6501543529624072,0.949747367997954,0.5491135478164314,0.6501543529624072,0.949747367997954
target_second_chamber_filling,120,30,NeuralForecast_XLinear,0.5125086347365129,0.6120819474705467,0.8854931666896273,0.5125086347365129,0.6120819474705467,0.8854931666896273
target_second_chamber_filling,120,60,NaiveLastValue,0.7190693452128416,0.8492069665100902,1.2391562663127305,0.7190693452128416,0.8492069665100902,1.2391562663127305
target_second_chamber_filling,120,60,LinearRegression,0.6676945250017458,0.7954136576950794,1.1469326797674906,0.6676945250017458,0.7954136576950794,1.1469326797674906
target_second_chamber_filling,120,60,Darts_DLinear,1.8123087333892307,2.2749104334227654,2.9897413075225954,1.8123087333892307,2.2749104334227654,2.9897413075225954
target_second_chamber_filling,120,60,Darts_NLinear,0.9294797108088064,1.141803928549192,1.570554699463175,0.9294797108088064,1.141803928549192,1.570554699463175
target_second_chamber_filling,120,60,NeuralForecast_BiTCN,0.8846561080017046,0.999631312870566,1.4850616163925126,0.8846561080017046,0.999631312870566,1.4850616163925126
target_second_chamber_filling,120,60,NeuralForecast_TSMixer,0.7031422635846174,0.8235027112078656,1.194757018120261,0.7031422635846174,0.8235027112078656,1.194757018120261
target_second_chamber_filling,120,60,NeuralForecast_Nhits,0.7054111846512544,0.8338860450205119,1.2159724184340723,0.7054111846512544,0.8338860450205119,1.2159724184340723
target_second_chamber_filling,120,60,NeuralForecast_XLinear,0.6717390104683634,0.7981895210626455,1.1557950194441742,0.6717390104683634,0.7981895210626455,1.1557950194441742
