RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_second_chamber_filling,RMSE_second_chamber_filling
simple_second_chamber_filling,8,3,LinearRegression,1.6907716,1.8918929,1.6907716,1.8918929
simple_second_chamber_filling,8,3,Chronos2,1.8560591,2.082953,1.8560591,2.082953
simple_second_chamber_filling,8,3,NeuralForecast_BiTCN,2.6694872,2.8504286,2.6694872,2.8504286
simple_second_chamber_filling,8,3,NeuralForecast_TSMixer,1.8085204,2.0305474,1.8085204,2.0305474
simple_second_chamber_filling,8,3,NeuralForecast_Nhits,1.6731454,1.8683057,1.6731454,1.8683057
simple_second_chamber_filling,8,3,NeuralForecast_XLinear,1.8200169,2.0205984,1.8200169,2.0205984
simple_second_chamber_filling,8,3,NeuralForecast_TFT,1.9455268,2.147214,1.9455268,2.147214
simple_second_chamber_filling,10,1,NaiveLastValue,0.9274494,0.9274494,0.9274494,0.9274494
simple_second_chamber_filling,10,1,LinearRegression,0.88948745,0.88948745,0.88948745,0.88948745
simple_second_chamber_filling,10,1,Chronos2,0.99815977,0.99815977,0.99815977,0.99815977
simple_second_chamber_filling,10,1,NeuralForecast_BiTCN,1.8146666,1.8146666,1.8146666,1.8146666
simple_second_chamber_filling,10,1,NeuralForecast_TSMixer,1.053014,1.053014,1.053014,1.053014
simple_second_chamber_filling,10,1,NeuralForecast_Nhits,0.902163,0.902163,0.902163,0.902163
simple_second_chamber_filling,10,1,NeuralForecast_XLinear,1.0694134,1.0694134,1.0694134,1.0694134
simple_second_chamber_filling,10,1,NeuralForecast_TFT,1.1683205,1.1683205,1.1683205,1.1683205
simple_second_chamber_filling,10,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
simple_second_chamber_filling,10,2,LinearRegression,1.2832059,1.395717,1.2832059,1.395717
simple_second_chamber_filling,10,2,Chronos2,1.3674365,1.4803027,1.3674365,1.4803027
simple_second_chamber_filling,10,2,NeuralForecast_BiTCN,2.2550664,2.348199,2.2550664,2.348199
simple_second_chamber_filling,10,2,NeuralForecast_TSMixer,1.5044115,1.6156477,1.5044115,1.6156477
simple_second_chamber_filling,10,2,NeuralForecast_Nhits,1.3136979,1.4201465,1.3136979,1.4201465
simple_second_chamber_filling,10,2,NeuralForecast_XLinear,1.5225329,1.6444978,1.5225329,1.6444978
simple_second_chamber_filling,10,2,NeuralForecast_TFT,1.5348293,1.644332,1.5348293,1.644332
simple_second_chamber_filling,10,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
simple_second_chamber_filling,10,3,LinearRegression,1.7052974,1.9074113,1.7052974,1.9074113
simple_second_chamber_filling,10,3,Chronos2,1.7697009,1.9880135,1.7697009,1.9880135
simple_second_chamber_filling,10,3,NeuralForecast_BiTCN,2.8341274,3.0106838,2.8341274,3.0106838
simple_second_chamber_filling,10,3,NeuralForecast_TSMixer,2.3219318,2.6279345,2.3219318,2.6279345
simple_second_chamber_filling,10,3,NeuralForecast_Nhits,1.6347613,1.825208,1.6347613,1.825208
simple_second_chamber_filling,10,3,NeuralForecast_XLinear,1.6783113,1.8900838,1.6783113,1.8900838
simple_second_chamber_filling,10,3,NeuralForecast_TFT,1.900706,2.0999665,1.900706,2.0999665
