sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000188,66.33102,29,17
1970-01-01 00:00:00.000000189,66.61168,29,18
1970-01-01 00:00:00.000000190,67.37462,29,19
1970-01-01 00:00:00.000000191,68.20408,29,20
1970-01-01 00:00:00.000000192,67.7228,29,21
1970-01-01 00:00:00.000000193,65.89505,29,22
1970-01-01 00:00:00.000000194,67.45948,29,23
1970-01-01 00:00:00.000000195,66.68112,29,24
1970-01-01 00:00:00.000000196,65.98283,29,25
1970-01-01 00:00:00.000000197,67.17592,29,26
1970-01-01 00:00:00.000000198,65.981865,29,27
1970-01-01 00:00:00.000000199,65.75135,29,28
1970-01-01 00:00:00.000000200,70.79282,29,29
1970-01-01 00:00:00.000000201,70.78397,29,30
1970-01-01 00:00:00.000000092,37.826,40,10
1970-01-01 00:00:00.000000093,39.08758,40,11
1970-01-01 00:00:00.000000094,38.982452,40,12
1970-01-01 00:00:00.000000095,38.80593,40,13
1970-01-01 00:00:00.000000096,38.445225,40,14
1970-01-01 00:00:00.000000092,38.82523,42,10
1970-01-01 00:00:00.000000093,36.98205,42,11
1970-01-01 00:00:00.000000094,34.93634,42,12
1970-01-01 00:00:00.000000095,33.814625,42,13
1970-01-01 00:00:00.000000096,32.06307,42,14
1970-01-01 00:00:00.000000156,61.110134,45,10
1970-01-01 00:00:00.000000157,60.97898,45,11
1970-01-01 00:00:00.000000158,60.86034,45,12
1970-01-01 00:00:00.000000159,60.9809,45,13
1970-01-01 00:00:00.000000160,60.97512,45,14
1970-01-01 00:00:00.000000161,60.942333,45,15
1970-01-01 00:00:00.000000162,60.763885,45,16
1970-01-01 00:00:00.000000163,61.218174,45,17
1970-01-01 00:00:00.000000164,61.182495,45,18
1970-01-01 00:00:00.000000165,60.867085,45,19
1970-01-01 00:00:00.000000166,60.864197,45,20
1970-01-01 00:00:00.000000167,60.894108,45,21
1970-01-01 00:00:00.000000168,61.14198,45,22
1970-01-01 00:00:00.000000169,61.19405,45,23
1970-01-01 00:00:00.000000170,59.326775,45,24
1970-01-01 00:00:00.000000171,60.775017,45,25
1970-01-01 00:00:00.000000116,55.983788,46,10
1970-01-01 00:00:00.000000117,56.84509,46,11
1970-01-01 00:00:00.000000118,57.18557,46,12
1970-01-01 00:00:00.000000119,58.440388,46,13
1970-01-01 00:00:00.000000120,58.73939,46,14
1970-01-01 00:00:00.000000121,59.56886,46,15
1970-01-01 00:00:00.000000122,60.37712,46,16
1970-01-01 00:00:00.000000123,60.882523,46,17
1970-01-01 00:00:00.000000124,61.386,46,18
1970-01-01 00:00:00.000000243,40.70601,53,10
1970-01-01 00:00:00.000000244,41.637733,53,11
1970-01-01 00:00:00.000000245,42.846256,53,12
1970-01-01 00:00:00.000000246,42.91956,53,13
1970-01-01 00:00:00.000000247,41.62422,53,14
1970-01-01 00:00:00.000000248,40.53144,53,15
1970-01-01 00:00:00.000000249,40.669357,53,16
1970-01-01 00:00:00.000000250,41.120754,53,17
1970-01-01 00:00:00.000000251,41.519085,53,18
1970-01-01 00:00:00.000000252,40.76003,53,19
1970-01-01 00:00:00.000000253,39.66435,53,20
1970-01-01 00:00:00.000000254,42.810577,53,21
1970-01-01 00:00:00.000000255,45.030872,53,22
1970-01-01 00:00:00.000000256,46.10726,53,23
1970-01-01 00:00:00.000000257,47.392933,53,24
1970-01-01 00:00:00.000000258,45.73205,53,25
1970-01-01 00:00:00.000000259,43.21179,53,26
1970-01-01 00:00:00.000000260,42.799,53,27
1970-01-01 00:00:00.000000261,41.916466,53,28
1970-01-01 00:00:00.000000262,41.390816,53,29
1970-01-01 00:00:00.000000263,41.846058,53,30
1970-01-01 00:00:00.000000264,40.70891,53,31
1970-01-01 00:00:00.000000265,39.520634,53,32
1970-01-01 00:00:00.000000266,39.064423,53,33
1970-01-01 00:00:00.000000267,37.83756,53,34
1970-01-01 00:00:00.000000268,36.85861,53,35
