minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
58,58.0,controlled,147.5063582437442,20.866504202105258,33.63601082385952,205.0,130.0,4023.277949721025,80.0,67.50635824374419,50.0,-29.133495797894742,50.0,-16.36398917614048,5500.0,-1476.722050278975,332.99611359923813,129.9982417353791,147.5063582437442,4023.277949721025,20.866504202105258,33.63601082385952,54.50251502596478,202.99787186385902,4000.307480125649,0.0,,,,
59,59.0,controlled,147.50644453028423,20.8665150671705,33.63602913883729,205.0,130.0,4023.277617720408,80.0,67.50644453028423,50.0,-29.1334849328295,50.0,-16.363970861162713,5500.0,-1476.7223822795918,332.9962982533078,129.99825663831004,147.50644453028423,4023.277617720408,20.8665150671705,33.63602913883729,54.502544206007784,202.99804161499773,4000.307222185276,0.0,,,,
60,60.0,controlled,147.5065300854293,20.86652584014512,33.63604729857796,205.0,130.0,4023.277288533974,80.0,67.50653008542929,50.0,-29.13347415985488,50.0,-16.363952701422043,5500.0,-1476.7227114660259,332.9964813422472,129.99827141488603,147.5065300854293,4023.277288533974,20.86652584014512,33.63604729857796,54.50257313872308,202.99820992736107,4000.3069664312984,0.0,,,,
61,61.0,controlled,147.50661491538116,20.86653652180989,33.636065304397704,205.0,130.0,4023.276962137866,80.0,67.50661491538116,50.0,-29.13346347819011,50.0,-16.363934695602296,5500.0,-1476.7230378621339,332.99666287932644,129.99828606617893,147.50661491538116,4023.276962137866,20.86653652180989,33.636065304397704,54.502601826207595,202.99837681314747,4000.3067128451826,0.0,,,,
62,62.0,controlled,147.50669902628894,20.86654711293897,33.636083157601576,205.0,130.0,4023.2766385084205,80.0,67.50669902628894,50.0,-29.13345288706103,50.0,-16.363916842398424,5500.0,-1476.7233614915795,332.99684287770316,129.9983005932516,147.50669902628894,4023.2766385084205,20.86654711293897,33.636083157601576,54.50263027054055,202.9985422844515,4000.3064614085442,0.0,,,,
63,63.0,controlled,147.50678242424956,20.866557614299943,33.63610085948352,205.0,130.0,4023.2763176221783,80.0,67.50678242424956,50.0,-29.133442385700057,50.0,-16.36389914051648,5500.0,-1476.7236823778217,332.9970213504234,129.99831499715793,147.50678242424956,4023.2763176221783,20.866557614299943,33.63610085948352,54.50265847378346,202.9987063532655,4000.3062121031567,0.0,,,,
64,64.0,controlled,147.50686511530836,20.866568026653887,33.636118411326514,205.0,130.0,4023.275999455879,80.0,67.50686511530836,50.0,-29.133431973346113,50.0,-16.363881588673486,5500.0,-1476.7240005441208,332.99719831042273,129.99832927894275,147.50686511530836,4023.275999455879,20.866568026653887,33.636118411326514,54.5026864379804,202.99886903148004,4000.3059649109496,0.0,,,,
65,65.0,controlled,147.50694710545915,20.86657835075542,33.63613581440265,205.0,130.0,4023.275683986456,80.0,67.50694710545915,50.0,-29.13342164924458,50.0,-16.36386418559735,5500.0,-1476.724316013544,332.9973737705267,129.99834343964216,147.50694710545915,4023.275683986456,20.86657835075542,33.63613581440265,54.50271416515807,202.99903033088452,4000.3057198140027,0.0,,,,
66,66.0,controlled,147.50702840064505,20.866588587352755,33.63615306997323,205.0,130.0,4023.2753711910473,80.0,67.50702840064505,50.0,-29.133411412647245,50.0,-16.363846930026767,5500.0,-1476.7246288089527,332.99754774345195,129.99835748028323,147.50702840064505,4023.2753711910473,20.866588587352755,33.63615306997323,54.502741657325984,202.9991902631687,4000.3054767945537,0.0,,,,
67,67.0,controlled,147.50710900675878,20.86659873718777,33.636170179288854,205.0,130.0,4023.275061046977,80.0,67.50710900675878,50.0,-29.13340126281223,50.0,-16.363829820711146,5500.0,-1476.724938953023,332.99772024180766,129.99837140188447,147.50710900675878,4023.275061046977,20.86659873718777,33.636170179288854,54.502768916476626,202.99934883992313,4000.3052358349855,0.0,,,,
68,68.0,controlled,147.50718892964292,20.866608800996037,33.63618714358951,205.0,130.0,4023.2747535317603,80.0,67.50718892964292,50.0,-29.133391199003963,50.0,-16.36381285641049,5500.0,-1476.7252464682397,332.9978912780956,129.99838520545578,147.50718892964292,4023.2747535317603,20.866608800996037,33.63618714358951,54.50279594458554,202.99950607263983,4000.30499691783,0.0,,,,
69,69.0,controlled,147.50726817509062,20.866618779506894,33.636203964104695,205.0,130.0,4023.2744486231127,80.0,67.50726817509062,50.0,-29.133381220493106,50.0,-16.363796035895305,5500.0,-1476.7255513768873,332.9980608647119,129.99839889199825,147.50726817509062,4023.2744486231127,20.866618779506894,33.636203964104695,54.50282274361159,202.99966197271357,4000.3047600257732,0.0,,,,
70,70.0,controlled,147.5073467488458,20.866628673443493,33.63622064205342,205.0,130.0,4023.2741462989297,80.0,67.5073467488458,50.0,-29.133371326556507,50.0,-16.363779357946576,5500.0,-1476.7258537010703,332.9982290139471,129.9984124625048,147.5073467488458,4023.2741462989297,20.866628673443493,33.63622064205342,54.50284931549692,202.99981655144225,4000.3045251416434,0.0,,,,
71,71.0,controlled,147.50742465660355,20.866638483522852,33.63623717864441,205.0,130.0,4023.273846537295,80.0,67.50742465660355,50.0,-29.133361516477148,50.0,-16.363762821355593,5500.0,-1476.726153462705,332.9983957379877,129.99842591795976,147.50742465660355,4023.273846537295,20.866638483522852,33.63623717864441,54.502875662167256,202.99996982002799,4000.304292248412,0.0,,,,
