minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
70,70.0,controlled,85.29787296321007,11.275065597845423,18.206637556783033,300.0,80.0,5360.361221707759,80.0,5.297872963210068,50.0,-38.724934402154574,50.0,-31.793362443216967,5500.0,-139.6387782922411,179.28506280980412,78.92580396907758,85.29787296321007,5360.361221707759,11.275065597845423,18.206637556783033,29.481703154628455,100.35925884072657,4987.005385977027,55.126441375358496,1.8144125722678695,28.93104622780794,23.472344616293288,45.43189794947011
71,71.0,controlled,85.54423978085653,11.284062931889832,18.213492208403487,300.0,80.0,5350.254637688921,80.0,5.544239780856529,50.0,-38.715937068110165,50.0,-31.786507791596513,5500.0,-149.74536231107868,179.87009376352066,79.16639267620874,85.54423978085653,5350.254637688921,11.284062931889832,18.213492208403487,29.49755514029332,100.70370108731191,4979.1917693783225,55.37405792700853,1.8396624747827464,29.01926398048306,23.428952180098197,54.30896458222651
72,72.0,controlled,85.63356141287953,11.2979710893064,18.211761013518863,300.0,80.0,5338.488035883489,80.0,5.63356141287953,50.0,-38.7020289106936,50.0,-31.788238986481137,5500.0,-161.51196411651108,180.19263392204743,79.36395567604814,85.63356141287953,5338.488035883489,11.2979710893064,18.211761013518863,29.50973210282526,100.82867824599927,4970.116912744298,54.580722681780266,1.4207621957695835,29.04945507594677,23.40587451405808,35.23154480029158
73,73.0,controlled,85.61406854477588,11.309943421044853,18.209101437708327,300.0,80.0,5326.5430285389575,80.0,5.614068544775876,50.0,-38.69005657895515,50.0,-31.790898562291673,5500.0,-173.45697146104249,180.31160773989674,79.51020799236751,85.61406854477588,5326.5430285389575,11.309943421044853,18.209101437708327,29.51904485875318,100.8013997475292,4960.928302557082,55.84867282260761,2.033509906981365,29.057601141997168,23.40459243540791,67.64846691105868
74,74.0,controlled,85.545104452068,11.31708809050693,18.209214410821005,300.0,80.0,5315.402030976533,80.0,5.545104452068003,50.0,-38.68291190949307,50.0,-31.790785589178995,5500.0,-184.59796902346716,180.31770815775388,79.6127974881667,85.545104452068,5315.402030976533,11.31708809050693,18.209214410821005,29.526302501327933,100.70491066958718,4952.379318934686,57.068073598147194,2.3225166928081933,29.056958470626096,23.42281931774811,113.28895584823961
75,75.0,controlled,87.21761089754632,11.360119098552055,18.212747012425144,310.0,80.0,5461.6929395395455,80.0,7.217610897546322,50.0,-38.639880901447945,50.0,-31.787252987574856,5500.0,-38.30706046045452,180.2916200867092,77.23787650954921,87.21761089754632,5461.6929395395455,11.360119098552055,18.212747012425144,29.5728661109772,103.05374357716002,5066.4012132163425,56.58866452707114,1.1470255459563294,29.05350673760064,23.46993485121851,139.24320294811636
76,76.0,controlled,87.17246193790916,11.396896899300785,18.22154494015405,310.0,80.0,5453.452588658101,80.0,7.172461937909162,50.0,-38.603103100699215,50.0,-31.77845505984595,5500.0,-46.54741134189862,180.28200463317808,77.29190942076457,87.17246193790916,5453.452588658101,11.396896899300785,18.22154494015405,29.618441839454835,102.99009521241354,5059.868252445227,55.63542886481865,0.800285882312437,29.040386645505436,23.531197278956665,113.1779529022054
77,77.0,controlled,87.1557254051709,11.42350284796517,18.239643380940837,310.0,80.0,5446.281191923217,80.0,7.155725405170898,50.0,-38.57649715203483,50.0,-31.760356619059163,5500.0,-53.71880807678281,180.3105925930745,77.34408813614338,87.1557254051709,5446.281191923217,11.42350284796517,18.239643380940837,29.663146228906008,102.9665044569311,5054.194373505823,54.833920176255106,1.4204103172657956,29.013701645572763,23.590704199194914,40.45520071108149
78,78.0,controlled,87.17376199345718,11.440536167000333,18.26638795661699,310.0,80.0,5439.74973987078,80.0,7.173761993457177,50.0,-38.55946383299967,50.0,-31.73361204338301,5500.0,-60.250260129219896,180.39684555173747,77.40491778579648,87.17376199345718,5439.74973987078,11.440536167000333,18.26638795661699,29.706924123617327,102.991927765941,5049.036084459236,55.7246740770952,2.1596631406004483,28.97679363521875,23.62294650278736,48.26353992443213
79,79.0,controlled,87.23422458012978,11.451652585022337,18.297894812177955,310.0,80.0,5433.41279881369,80.0,7.234224580129776,50.0,-38.54834741497766,50.0,-31.702105187822045,5500.0,-66.58720118631027,180.56093250853615,77.48376453342031,87.23422458012978,5433.41279881369,11.451652585022337,18.297894812177955,29.749547397200292,103.07716797511583,5044.039760766754,56.87158961586207,2.234380799709347,28.93978962942977,23.621172156857796,103.81235149325796
